log_text,label
107.51.82.206 USER=guest REQ=GET /api/data STATUS=200 LATENCY=87ms,NORMAL
137.56.82.114 USER=guest REQ=GET /contact STATUS=200 LATENCY=136ms,NORMAL
157.18.213.126 USER=guest REQ=GET /about STATUS=200 LATENCY=30ms,NORMAL
111.133.94.170 USER=guest REQ=GET /products STATUS=200 LATENCY=131ms,NORMAL
227.71.28.148 USER=guest REQ=GET /login STATUS=200 LATENCY=50ms,NORMAL
87.104.145.53 USER=guest REQ=GET /login STATUS=200 LATENCY=12ms,NORMAL
141.35.86.119 USER=guest REQ=GET /about STATUS=200 LATENCY=129ms,NORMAL
194.17.81.175 USER=guest REQ=GET /login STATUS=200 LATENCY=80ms,NORMAL
92.133.80.10 USER=guest REQ=GET /about STATUS=200 LATENCY=76ms,NORMAL
83.13.169.127 USER=guest REQ=GET /api/data STATUS=200 LATENCY=90ms,NORMAL
113.248.2.196 USER=guest REQ=GET /contact STATUS=200 LATENCY=40ms,NORMAL
217.47.163.54 USER=guest REQ=GET /login STATUS=200 LATENCY=50ms,NORMAL
138.106.67.21 USER=guest REQ=GET /api/data STATUS=200 LATENCY=64ms,NORMAL
20.128.27.241 USER=guest REQ=GET /api/data STATUS=200 LATENCY=140ms,NORMAL
62.58.148.252 USER=guest REQ=GET /login STATUS=200 LATENCY=128ms,NORMAL
185.157.168.131 USER=guest REQ=GET /about STATUS=200 LATENCY=58ms,NORMAL
47.20.52.51 USER=guest REQ=GET /api/data STATUS=200 LATENCY=146ms,NORMAL
133.158.58.201 USER=guest REQ=GET /api/data STATUS=200 LATENCY=139ms,NORMAL
134.30.28.122 USER=guest REQ=GET /checkout STATUS=200 LATENCY=134ms,NORMAL
233.168.139.146 USER=guest REQ=GET /products STATUS=200 LATENCY=69ms,NORMAL
87.234.83.225 USER=guest REQ=GET /about STATUS=200 LATENCY=107ms,NORMAL
110.250.236.226 USER=guest REQ=GET /login STATUS=200 LATENCY=141ms,NORMAL
49.198.125.77 USER=guest REQ=GET /home STATUS=200 LATENCY=121ms,NORMAL
144.34.83.140 USER=guest REQ=GET /about STATUS=200 LATENCY=22ms,NORMAL
132.130.155.228 USER=guest REQ=GET /about STATUS=200 LATENCY=148ms,NORMAL
154.173.50.230 USER=guest REQ=GET /api/data STATUS=200 LATENCY=102ms,NORMAL
233.145.49.244 USER=guest REQ=GET /products STATUS=200 LATENCY=41ms,NORMAL
163.120.181.92 USER=guest REQ=GET /checkout STATUS=200 LATENCY=14ms,NORMAL
208.135.197.234 USER=guest REQ=GET /products STATUS=200 LATENCY=46ms,NORMAL
