endpoint,status,count
/pub/winvn/readme.txt,404,2004
/pub/winvn/release.txt,404,1732
/shuttle/missions/STS-69/mission-STS-69.html,404,683
/shuttle/missions/sts-68/ksc-upclose.gif,404,428
/history/apollo/a-001/a-001-patch-small.gif,404,384
/history/apollo/sa-1/sa-1-patch-small.gif,404,383
/://spacelink.msfc.nasa.gov,404,381
/images/crawlerway-logo.gif,404,374
/elv/DELTA/uncons.htm,404,372
/history/apollo/pad-abort-test-1/pad-abort-test-1-patch-small.gif,404,359
/images/nasa-logo.gif,404,319
/shuttle/resources/orbiters/atlantis.gif,404,314
/history/apollo/apollo-13.html,404,304
/shuttle/resources/orbiters/discovery.gif,404,263
/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,404,190
/shuttle/resources/orbiters/challenger.gif,404,170
/shuttle/missions/technology/sts-newsref/stsref-toc.html,404,158
/history/apollo/images/little-joe.jpg,404,150
/images/lf-logo.gif,404,143
/history/apollo/publications/sp-350/sp-350.txt~,404,140
/robots.txt,404,136
/history/apollo/pad-abort-test-2/pad-abort-test-2-patch-small.gif,404,122
/history/apollo/sa-2/sa-2-patch-small.gif,404,110
/pub,404,104
/shuttle/countdown/video/livevideo.jpeg,404,101
/history/apollo/sa-3/sa-3-patch-small.gif,404,98
/software/winvn/winvn.html.,404,90
/history/apollo/sa-5/sa-5-patch-small.gif,404,90
/shuttle/missions/51-L/mission-51-1.html,404,88
/procurement/procurement.htm,404,86
