day,error_count
01/Aug/1995,244
01/Jul/1995,315
02/Jul/1995,294
03/Aug/1995,303
03/Jul/1995,529
04/Aug/1995,347
04/Jul/1995,361
05/Aug/1995,236
05/Jul/1995,498
06/Aug/1995,373
06/Jul/1995,641
07/Aug/1995,534
07/Jul/1995,568
08/Aug/1995,395
08/Jul/1995,299
09/Aug/1995,281
09/Jul/1995,348
10/Aug/1995,317
10/Jul/1995,396
11/Aug/1995,274
11/Jul/1995,470
12/Aug/1995,197
12/Jul/1995,465
13/Aug/1995,216
13/Jul/1995,527
14/Aug/1995,299
14/Jul/1995,415
15/Aug/1995,326
15/Jul/1995,253
16/Aug/1995,260
16/Jul/1995,257
17/Aug/1995,269
17/Jul/1995,406
18/Aug/1995,257
18/Jul/1995,482
19/Aug/1995,208
19/Jul/1995,641
20/Aug/1995,320
20/Jul/1995,428
21/Aug/1995,305
21/Jul/1995,334
22/Aug/1995,301
22/Jul/1995,184
23/Aug/1995,345
23/Jul/1995,233
24/Aug/1995,422
24/Jul/1995,333
25/Aug/1995,441
25/Jul/1995,467
26/Aug/1995,374
26/Jul/1995,335
27/Aug/1995,417
27/Jul/1995,340
28/Aug/1995,410
28/Jul/1995,94
29/Aug/1995,434
30/Aug/1995,590
31/Aug/1995,528
