day,hour,request_count,is_anomaly,threshold_high,threshold_low,mean
01/Aug/1995,00,1642,NORMAL,5517,0,2527
01/Aug/1995,01,1385,NORMAL,5517,0,2527
01/Aug/1995,02,993,NORMAL,5517,0,2527
01/Aug/1995,03,1219,NORMAL,5517,0,2527
01/Aug/1995,04,985,NORMAL,5517,0,2527
01/Aug/1995,05,1146,NORMAL,5517,0,2527
01/Aug/1995,06,1022,NORMAL,5517,0,2527
01/Aug/1995,07,1778,NORMAL,5517,0,2527
01/Aug/1995,08,2858,NORMAL,5517,0,2527
01/Aug/1995,09,3199,NORMAL,5517,0,2527
01/Aug/1995,10,3788,NORMAL,5517,0,2527
01/Aug/1995,11,4048,NORMAL,5517,0,2527
01/Aug/1995,12,4443,NORMAL,5517,0,2527
01/Aug/1995,13,3299,NORMAL,5517,0,2527
01/Aug/1995,14,2191,NORMAL,5517,0,2527
01/Jul/1995,00,3565,NORMAL,5517,0,2527
01/Jul/1995,01,3004,NORMAL,5517,0,2527
01/Jul/1995,02,2268,NORMAL,5517,0,2527
01/Jul/1995,03,1734,NORMAL,5517,0,2527
01/Jul/1995,04,1481,NORMAL,5517,0,2527
01/Jul/1995,05,1343,NORMAL,5517,0,2527
01/Jul/1995,06,1528,NORMAL,5517,0,2527
01/Jul/1995,07,1556,NORMAL,5517,0,2527
01/Jul/1995,08,1927,NORMAL,5517,0,2527
01/Jul/1995,09,2096,NORMAL,5517,0,2527
01/Jul/1995,10,3045,NORMAL,5517,0,2527
01/Jul/1995,11,3428,NORMAL,5517,0,2527
01/Jul/1995,12,2769,NORMAL,5517,0,2527
01/Jul/1995,13,3086,NORMAL,5517,0,2527
01/Jul/1995,14,3133,NORMAL,5517,0,2527
01/Jul/1995,15,3272,NORMAL,5517,0,2527
01/Jul/1995,16,3191,NORMAL,5517,0,2527
01/Jul/1995,17,3671,NORMAL,5517,0,2527
01/Jul/1995,18,3192,NORMAL,5517,0,2527
01/Jul/1995,19,2831,NORMAL,5517,0,2527
01/Jul/1995,20,2958,NORMAL,5517,0,2527
01/Jul/1995,21,3502,NORMAL,5517,0,2527
01/Jul/1995,22,3277,NORMAL,5517,0,2527
01/Jul/1995,23,2853,NORMAL,5517,0,2527
02/Jul/1995,00,2858,NORMAL,5517,0,2527
02/Jul/1995,01,2570,NORMAL,5517,0,2527
02/Jul/1995,02,2056,NORMAL,5517,0,2527
02/Jul/1995,03,1505,NORMAL,5517,0,2527
02/Jul/1995,04,1286,NORMAL,5517,0,2527
02/Jul/1995,05,1291,NORMAL,5517,0,2527
02/Jul/1995,06,1293,NORMAL,5517,0,2527
02/Jul/1995,07,1229,NORMAL,5517,0,2527
02/Jul/1995,08,1430,NORMAL,5517,0,2527
02/Jul/1995,09,1895,NORMAL,5517,0,2527
02/Jul/1995,10,2124,NORMAL,5517,0,2527
02/Jul/1995,11,2450,NORMAL,5517,0,2527
02/Jul/1995,12,3106,NORMAL,5517,0,2527
02/Jul/1995,13,2915,NORMAL,5517,0,2527
02/Jul/1995,14,3062,NORMAL,5517,0,2527
02/Jul/1995,15,2738,NORMAL,5517,0,2527
02/Jul/1995,16,3155,NORMAL,5517,0,2527
02/Jul/1995,17,3537,NORMAL,5517,0,2527
02/Jul/1995,18,3186,NORMAL,5517,0,2527
02/Jul/1995,19,2790,NORMAL,5517,0,2527
02/Jul/1995,20,2961,NORMAL,5517,0,2527
02/Jul/1995,21,3381,NORMAL,5517,0,2527
02/Jul/1995,22,3728,NORMAL,5517,0,2527
02/Jul/1995,23,3714,NORMAL,5517,0,2527
03/Aug/1995,04,16,NORMAL,5517,0,2527
03/Aug/1995,05,43,NORMAL,5517,0,2527
03/Aug/1995,06,70,NORMAL,5517,0,2527
03/Aug/1995,07,58,NORMAL,5517,0,2527
03/Aug/1995,08,114,NORMAL,5517,0,2527
03/Aug/1995,09,22,NORMAL,5517,0,2527
03/Aug/1995,10,57,NORMAL,5517,0,2527
03/Aug/1995,11,2438,NORMAL,5517,0,2527
03/Aug/1995,12,5174,NORMAL,5517,0,2527
03/Aug/1995,13,3756,NORMAL,5517,0,2527
03/Aug/1995,14,4056,NORMAL,5517,0,2527
03/Aug/1995,15,4524,NORMAL,5517,0,2527
03/Aug/1995,16,4309,NORMAL,5517,0,2527
03/Aug/1995,17,3814,NORMAL,5517,0,2527
03/Aug/1995,18,2804,NORMAL,5517,0,2527
03/Aug/1995,19,1767,NORMAL,5517,0,2527
03/Aug/1995,20,2529,NORMAL,5517,0,2527
03/Aug/1995,21,1840,NORMAL,5517,0,2527
03/Aug/1995,22,2284,NORMAL,5517,0,2527
03/Aug/1995,23,1712,NORMAL,5517,0,2527
03/Jul/1995,00,3016,NORMAL,5517,0,2527
03/Jul/1995,01,2395,NORMAL,5517,0,2527
03/Jul/1995,02,2205,NORMAL,5517,0,2527
03/Jul/1995,03,2041,NORMAL,5517,0,2527
03/Jul/1995,04,1539,NORMAL,5517,0,2527
03/Jul/1995,05,1750,NORMAL,5517,0,2527
03/Jul/1995,06,1703,NORMAL,5517,0,2527
03/Jul/1995,07,2862,NORMAL,5517,0,2527
03/Jul/1995,08,3671,NORMAL,5517,0,2527
03/Jul/1995,09,4794,NORMAL,5517,0,2527
03/Jul/1995,10,4519,NORMAL,5517,0,2527
03/Jul/1995,11,4790,NORMAL,5517,0,2527
03/Jul/1995,12,5535,HIGH,5517,0,2527
03/Jul/1995,13,6013,HIGH,5517,0,2527
03/Jul/1995,14,5508,NORMAL,5517,0,2527
03/Jul/1995,15,5610,HIGH,5517,0,2527
03/Jul/1995,16,5388,NORMAL,5517,0,2527
03/Jul/1995,17,4545,NORMAL,5517,0,2527
03/Jul/1995,18,3444,NORMAL,5517,0,2527
03/Jul/1995,19,3712,NORMAL,5517,0,2527
03/Jul/1995,20,3760,NORMAL,5517,0,2527
03/Jul/1995,21,3832,NORMAL,5517,0,2527
03/Jul/1995,22,3197,NORMAL,5517,0,2527
03/Jul/1995,23,3713,NORMAL,5517,0,2527
04/Aug/1995,00,1225,NORMAL,5517,0,2527
04/Aug/1995,01,1707,NORMAL,5517,0,2527
04/Aug/1995,02,1118,NORMAL,5517,0,2527
04/Aug/1995,03,1211,NORMAL,5517,0,2527
04/Aug/1995,04,1123,NORMAL,5517,0,2527
04/Aug/1995,05,1187,NORMAL,5517,0,2527
04/Aug/1995,06,1439,NORMAL,5517,0,2527
04/Aug/1995,07,1856,NORMAL,5517,0,2527
04/Aug/1995,08,2822,NORMAL,5517,0,2527
04/Aug/1995,09,3281,NORMAL,5517,0,2527
