ip,total_requests,error_requests,error_rate
piweba3y.prodigy.com,21988,157,0.71
piweba4y.prodigy.com,16437,86,0.52
piweba1y.prodigy.com,12825,114,0.89
edams.ksc.nasa.gov,11964,33,0.28
163.206.89.4,9697,27,0.28
news.ti.com,8161,37,0.45
www-d1.proxy.aol.com,8047,65,0.81
alyssa.prodigy.com,8037,56,0.7
siltb10.orl.mmc.com,7573,0,0.0
www-a2.proxy.aol.com,7516,60,0.8
www-b2.proxy.aol.com,7266,53,0.73
piweba2y.prodigy.com,7246,59,0.81
www-b3.proxy.aol.com,7218,61,0.85
www-d4.proxy.aol.com,7211,91,1.26
www-b5.proxy.aol.com,7080,50,0.71
www-d2.proxy.aol.com,6984,59,0.84
www-b4.proxy.aol.com,6972,62,0.89
www-d3.proxy.aol.com,6895,54,0.78
webgate1.mot.com,6749,14,0.21
e659229.boeing.com,6720,15,0.22
www-a1.proxy.aol.com,6661,50,0.75
www-c2.proxy.aol.com,6436,49,0.76
poppy.hensa.ac.uk,6428,11,0.17
vagrant.vf.mmc.com,6383,19,0.3
www-c5.proxy.aol.com,6099,32,0.52
disarray.demon.co.uk,5838,27,0.46
www-c6.proxy.aol.com,5624,40,0.71
www-c4.proxy.aol.com,5561,53,0.95
www-c3.proxy.aol.com,5528,37,0.67
www-c1.proxy.aol.com,5439,26,0.48
www-relay.pa-x.dec.com,4896,47,0.96
piweba5y.prodigy.com,4607,31,0.67
intgate.raleigh.ibm.com,4510,26,0.58
www-proxy.crl.research.digital.com,4337,32,0.74
198.133.29.18,4203,16,0.38
palona1.cns.hp.com,4142,18,0.43
proxy0.research.att.com,3888,5,0.13
derec,3674,27,0.73
www-b6.proxy.aol.com,3672,48,1.31
sgigate.sgi.com,3658,3,0.08
trusty.lmsc.lockheed.com,3513,8,0.23
beta.xerox.com,3407,12,0.35
mpngate1.ny.us.ibm.net,3262,11,0.34
cliffy.lfwc.lockheed.com,3194,13,0.41
bill.ksc.nasa.gov,3126,0,0.0
bocagate.bocaraton.ibm.com,3104,2,0.06
gw1.att.com,3055,14,0.46
163.205.156.16,2961,18,0.61
interlock.turner.com,2828,21,0.74
163.206.137.21,2787,7,0.25
jbiagioni.npt.nuwc.navy.mil,2769,132,4.77
indy.gradient.com,2686,0,0.0
gw2.att.com,2641,30,1.14
koriel.sun.com,2601,25,0.96
proxy.austin.ibm.com,2535,43,1.7
erigate.ericsson.se,2454,12,0.49
tiber.gsfc.nasa.gov,2409,18,0.75
gatekeeper.mitre.org,2348,18,0.77
gw3.att.com,2341,5,0.21
igate.uswest.com,2318,7,0.3
ottgate2.bnr.ca,2287,16,0.7
www-b1.proxy.aol.com,2270,34,1.5
gn2.getnet.com,2266,25,1.1
sahp315.sandia.gov,2264,15,0.66
bstfirewall.bst.bls.com,2207,6,0.27
inet2.tek.com,2205,9,0.41
wwwproxy.sanders.com,2167,6,0.28
gateway.cary.ibm.com,2144,7,0.33
spider.tbe.com,2079,7,0.34
ntigate.nt.com,2043,10,0.49
163.205.1.45,2017,70,3.47
gw4.att.com,2008,7,0.35
currypc.fpl.msstate.edu,1970,0,0.0
n1144637.ksc.nasa.gov,1896,0,0.0
corpgate.nt.com,1879,4,0.21
news.dfrc.nasa.gov,1865,0,0.0
sdn_b6_f02_ip.dny.rockwell.com,1844,8,0.43
gwa.ericsson.com,1823,10,0.55
marina.cea.berkeley.edu,1799,0,0.0
gatekeeper.cca.rockwell.com,1798,2,0.11
internet-gw.ford.com,1789,9,0.5
bbuig150.unisys.com,1730,2,0.12
128.159.122.180,1680,1,0.06
theopolis.orl.mmc.com,1671,0,0.0
128.217.62.1,1598,3,0.19
gatekeeper.us.oracle.com,1566,9,0.57
n1032336.ksc.nasa.gov,1565,0,0.0
163.205.11.31,1549,0,0.0
nidhogg.srl.caltech.edu,1544,0,0.0
heimdallp2.compaq.com,1544,3,0.19
gate.chips.ibm.com,1542,18,1.17
klothos.crl.research.digital.com,1532,7,0.46
